,Label
"DP બદલ્યા વિના દેશભક્તિ બતાવવાના ઉપાય..!

૧) કચરા માટે કચરાપેટી સિવાય બીજી કોઈ જગ્યા ના વાપરો
૨) પાણી ની જરૂર હોય એટલું જ વાપરો
૩) વીજળી બનાવવા માટે હજારો ટન કોલસો વપરાય છે, તો બિનજરૂરી વીજળી નો વપરાશ ટાળો
૪) દેશ નું ઇંધણ બચાવવા માટે બની શકે તો પબ્લિક ટ્રાન્સપોર્ટ નો વપરાશ કરો.",Non-hostile
"સાંસદ શ્રી @CRPaatil દ્વારા ""हर घर तिरंगा, हर गाँव तिरंगा"" જે અભિયાન અતંગતૅ ત્રિરંગો આજે મારા ઘરે પહોંચ્યો જે દેશભક્તિ સાથે જોડાયેલો છે અભિયાન ખૂબ સરસ બિરદાવા જેવું છે ખાસ કરીને સાંસદ શ્રી @CRPaatil ખૂબ ખૂબ અભિનંદન https://t.co/5txwfG14Vv",Non-hostile
"૧૫ ઓગસ્ટ ને હવે થોડાકજ દિવસ બાકી છે. અમુક જ્ઞાનીઓ એવા મેસેજ મોકલીને કહે છે કે તમા રા DP મા આ ચિત્ર મૂકો, ફલાણું મૂકો અને દેશભક્તિ બતાવો. તો આવા નવરી બજાર જેવી વ્યક્તિઓ માટે થોડી સલાહ સૂચનો..
☺Whatsapp nu DP... https://t.co/mZQQOhwU1S",Non-hostile
"*☺Whats app nu DP બદલ્યા વિના દેશભક્તિ બતાવવાના ઉપાય...!!!☺*

૧) કચરા માટે કચરાપેટી સિવાય બીજી કોઈ જગ્યા ના વાપરો
૨) પાણી ની જરૂર હોય એટલું જ વાપરો💧
૩) વીજળી બનાવવા માટે હજારો ટન કોલસો વપરાય છે, તો બિનજરૂરી... https://t.co/abDlz2VbAH",Non-hostile
"☺Whats app nu DP બદલ્યા વિના દેશભક્તિ બતાવવાના ઉપાય...!!!☺

૧) કચરા માટે કચરાપેટી સિવાય બીજી કોઈ જગ્યા ના વાપરો
૨) પાણી ની જરૂર હોય એટલું જ વાપરો💧
૩) વીજળી બનાવવા માટે હજારો ટન કોલસો વપરાય છે, તો બિનજરૂરી વીજળી... https://t.co/rlr1EVCYXQ",Non-hostile
"૧૫ ઓગસ્ટ ને હવે થોડાકજ દિવસ બાકી છે. 
☺Whatsapp nu DP બદલ્યા વિના દેશભક્તિ બતાવવાના ઉપાય...!!!☺
૧) કચરા માટે કચરાપેટી સિવાય બીજી કોઈ જગ્યા ના વાપરો
૨) પાણી ની જરૂર હોય એટલું જ વાપરો💧
૩) વીજળી બનાવવા માટે હજારો ટન... https://t.co/KpABXDQEZP",Non-hostile
"*૧૫ ઓગસ્ટ ને હવે થોડાકજ દિવસ બાકી છે.*

☺Whatsapp nu DP બદલ્યા વિના દેશભક્તિ બતાવવાના ઉપાય...!!!☺

૧) કચરા માટે કચરાપેટી સિવાય બીજી કોઈ જગ્યા ના વાપરો

૨) પાણી ની જરૂર હોય એટલું જ વાપરો💧

૩) વીજળી બનાવવા માટે... https://t.co/odTVOGWH5v",Non-hostile
"DP બદલ્યા વિના દેશભક્તિ બતાવવાના ઉપાય..!

૫) બસ, ટ્રેન, પબ્લિક ટોયલેટ એ આપણા પૈસા થી જ બને છે, એની જાળવણી કરો
૬) ફાલતુ વાતો માં સમય વેડફ્યા કરતા દેશ ની પ્રોડક્ટિવિટી વધે એવું કામ કરો
૭) લાંચ આપવાથી બચો
૮) જરૂરી હોય તો ભારત માં બનેલી વસ્તુઓ વાપરો, એનાથી દેશમાંથી પૈસા બહાર જતા બચશે",Non-hostile
"સુરત મહાનગરપાલિકા દ્વારા 15 મી ઓગષ્ટ સ્વાતંત્ર્ય પર્વની ઉજવણી નિમિત્તે સીંગણપોર મલ્ટીપર્પઝ હોલ ખાતે રંગપૂરણી હરિફાઈ અને દેશભક્તિ ગીત સ્પર્ધાનું આયોજન કરવામાં આવ્યું હતું. (1/2)
#MySurat https://t.co/UzT9kYl7XC",Non-hostile
"સમર્પણ વ્યક્તિત્વ ના ધણી,
દેશભક્તિ જેના લોહી માં કણે કણ માં વસી છે તેવા શાંત સ્વભાવ ના આદર્શ વ્યક્તિ Hitesh Patel ને જન્મદિવસ ની અનેકગણી શુભેચ્છાઓ.",Non-hostile
"ફેંકુ ગોધરાકાંડ, ખોટા એન્કાઉન્ટર કરાવી પ્રધાનમંત્રી બની જવાથી કોઈ જ સન્માન ના મળે,ભારત માટે કંઈ કરી છૂટવાની દેશભક્તિ હોવી જોઈએ,અમારા પૂર્વ પ્રધાનમંત્રી મનમોહનસિંહ ની જેમ,અમને ગર્વ છે શ્રી મનમોહનસિંહ જી પર. https://t.co/MeuUqRKW0t",Non-hostile
"DP બદલ્યા વિના દેશભક્તિ બતાવવાના ઉપાય...!!!

૧)કચરા માટે કચરાપેટી સિવાય બીજી કોઈ જગ્યા ના વાપરો
૨)પાણીની જરૂર હોય એટલુંજ વાપરો💧
૩)વીજળી બનાવવા માટે હજારો ટન કોલસો વપરાય છે,તો બિનજરૂરી વીજળી નો વપરાશ ટાળો.
ફક્ત #DP બદલવાથી દેશ 🇮🇳માં કઈ નહિ બદલાય,તમારે જાતે પેલા બદલાવું પડશે",Non-hostile
"@narendramodi માપી છપ્પનની છાતી,
દેશભક્તિ જ્યાં ઉભરાતી;

સાંભળી મોદીજીની ખ્યાતિ,
રાહુલને ઠંડી અતિશય વાતી;

આંખ ડાબી તમારી કંઈ ગાતી,
અશુભ સંકેતે એ ભરાતી;

કેવી રાજનિષ્ઠા દાઝીને ગંધાતી,
ખીચડી કોંગ્રેસની ના રંધાતી;

સમજો હવે રાહુલ ભલીભાતી,
આ મરદ છે અમારો ગુજ",Non-hostile
"સંજય દત્ત ની નિર્દોષતા ,
શન્ની લિયોની ની પવિત્રતા ,
અને 
ભાજપ ની દેશભક્તિ વિશે કોઈએ શંકા કરવી નહીં....🤡😋🤣😎",Non-hostile
"માપી છપ્પનની છાતી,
દેશભક્તિ જ્યાં ઉભરાતી;

સાંભળી મોદીજીની ખ્યાતિ,
રાહુલને ઠંડી અતિશય વાતી;

આંખ ડાબી તમારી કંઈ ગાતી,
અશુભ સંકેતે એ ભરાતી;

કેવી રાજનિષ્ઠા દાઝીને ગંધાતી,
ખીચડી કોંગ્રેસની ના રંધાતી;

સમજો હવે રાહુલ ભલીભાતી,
આ મરદ છે અમારો ગુજરાતી!

-સંજય શાહ",Non-hostile
"માપી છપ્પનની છાતી,
દેશભક્તિ જ્યાં ઉભરાતી;
સાંભળી મોદીજીની ખ્યાતિ,
રાહુલને ઠંડી અતિશય વાતી;
આંખ ડાબી તમારી કંઈ ગાતી,
અશુભ સંકેતે એ ભરાતી;
કેવી રાજનિષ્ઠા દાઝીને ગંધાતી,
ખીચડી કોંગ્રેસની ના રંધાતી;
સમજો હવે રાહુલ ભલીભાતી,
આ મરદ છે અમારો ગુજરાતી! @narendramodi #IndiaTrustsModi",Non-hostile
"દેશભક્તિ અને રોમાન્સ સાથે થશે જિનિયસની એન્ટ્રી, જુઓ ધમાકેદાર ટ્રેલર
#Entertainment #NewTrailerRelease #Genius #UtkarshSharma https://t.co/XBTXgWilDV",Non-hostile
"હાદિક ની નિર્દોષતા ,
શન્ની લિયોની ની પવિત્રતા ,
અને કોંગ્રેસ ની દેશભક્તિ વિશે કોઈએ શંકા કરવી નહીં....🤡😋🤣😎",Non-hostile
"@HardikPatel_ @RahulGandhi @yadavtejashwi @JM_Scindia @yadavakhilesh @MamataOfficial @ashokgehlot51 @MahilaCongress @paresh_dhanani @SATAVRAJEEV @AmitChavdaINC હાદિક ની નિર્દોષતા ,
શન્ની લિયોની ની પવિત્રતા ,
અને કોંગ્રેસ ની દેશભક્તિ વિશે કોઈએ શંકા કરવી",Non-hostile
"હાદિક ની નિર્દોષતા ,
શન્ની લિયોની ની પવિત્રતા ,
અને કોંગ્રેસ ની દેશભક્તિ વિશે કોઈએ શંકા કરવી નહીં....🤡😋🤣😎😂 પવિત્ર રિસ્તા",Non-hostile
"@sambitswaraj @ZeeNews @News18India @news24tvchannel @TimesNow @aajtak સંજય દત્ત ની નિરદૉષતા ,

સની લિયોની ની પવિત્રતા ,
અને 

કોઞૅસ ની દેશભક્તિ વિશે કોઈએ શંકા કરવી નહીં....🤡😋🤣😎",Non-hostile
હું ક્ષત્રિય છું મારે દેશભક્તિ માટે કોઈ ના સર્ટીફીકેટ ની જરૂર નથી.!!,Non-hostile
"સંજય દત્ત ની નિર્દોષતા , શન્ની લિયોની ની પવિત્રતા , અને ભાજપ ની દેશભક્તિ વિશે કોઈએ શંકા કરવી નહીં....🤡😋🤣😎 @BJP4India @HardikPatel_ #Gujrat",Non-hostile
"@jaihind_rajeshy @sambitswaraj @ZeeNews @INCIndia @BJP4India @VasundharaBJP સંજય દત્ત ની નિરદૉષતા ,

સની લિયોની ની પવિત્રતા ,
અને 

કોઞૅસ ની દેશભક્તિ વિશે કોઈએ શંકા કરવી નહીં....🤡😋🤣😎",Non-hostile
"जय जवान, जय किसान ,भारत माताकी जय. #દેશભક્તિ ગીતો https://t.co/Rdc0WNEpc6",Non-hostile
દેશભક્તિ શક્તિ છે. https://t.co/XhtQJ43gUs https://t.co/Auayya9kGf,Non-hostile
"ઈંગ્લેન્ડમાં ભારતીય ફેન્સની દેશભક્તિ જોઇ વિરાટનું દિલ થયું ખુશ, જુઓ વીડિયો #Sports #ENGvsIND 

https://t.co/JpnuuQz84g https://t.co/Q3r2samMir",Non-hostile
#દેશભક્તિ ગીતો https://t.co/Rdc0WNEpc6,Non-hostile
"@HardikPatel_ હાદિક ની નિર્દોષતા ,
શન્ની લિયોની ની પવિત્રતા ,
અને 
કોંગ્રેસ ની દેશભક્તિ વિશે કોઈએ શંકા કરવી નહીં....🤡😋🤣😎",Non-hostile
"સૈન્ય નું મનોબળ વધારવું, ઘટાડવું સરકાર નું કામ છે. મોદીજી ની દેશભક્તિ માટે શંકા એટલા માટે થાય છે કે સીઝફાયર નો ભંગ 30 દિવસ માં 20 થી વધુ વખત થવા છતાં સૈન્ય ને દબાવી રાખ્યું અને 30 દિવસ પછી પણ કર્યું કાઈ નહીં. દુશ્મનો ને તોડવા ને બદલે ગઠબંધન તોડ્યું. https://t.co/crbK86RrXS",Non-hostile
"દેશવિરોધી તાકતો સામે દેશભક્ત જીવનાં જોખમે લડી રહ્યો છે
ગર્વ છે @narendramodi જી આપની દેશભક્તિ પર... https://t.co/Uzru9vkoIc",Non-hostile
કોંગ્રેસે વડાપ્રધાન શ્રી @narendramodiજી ને દેશભક્તિના પાઠ શીખવવાની જરૂર નથી. દેશભક્તિ તો વડાપ્રધાન શ્રી નરેન્દ્રભાઇ મોદીના રગેરગ અને રોમેરોમમાં છે. ભાજપા સૈન્યનું મનોબળ વધારે છે ત્યારે કોંગ્રેસ સૈન્યનું મનોબળ તોડવાનો પ્રયાસ કરે છે.,Non-hostile
"Retweeted Jitu Vaghani (@jitu_vaghani):

કોંગ્રેસે વડાપ્રધાન શ્રી @narendramodiજી ને દેશભક્તિના પાઠ શીખવવાની જરૂર નથી. દેશભક્તિ તો વડાપ્રધાન શ્રી નરેન્દ્રભાઇ મોદીના રગેરગ અને રોમેરોમમાં છે. ભાજપા સૈન્યનું મનોબળ વધારે છે ત્યારે કોંગ્રેસ સૈન્યનું મનોબળ તોડવાનો પ્રયાસ કરે છે.",Non-hostile
"હું અહીં રાષ્ટ્રવાદ અને દેશભક્તિ વિશે બોલવા આવ્યો છું' RSSના કાર્યક્રમમાં પ્રણવ મુખરજી https://t.co/X2JdtlI51U
#Nagpur #PranavMukharji #RSS",Non-hostile
".@INCIndia ના પૂર્વ કેન્દ્રીય મંત્રી સૈફુદીન સોઝે શ્રી સરદાર પટેલ સાહેબની
અખંડિતતા અને દેશભક્તિ ઉપર સવાલો ઊભો કરીને હદ કરી નાંખી છે.

સરદાર પટેલનું ઘોર અપમાન થયું હોવા છતાં પણ
@INCIndia કેમ ચુપ બેઠી છે તે સમજાતું નથી ? 

-@bharatpandyabjp",Non-hostile
"@abpasmitatv @dhwansdave 2 રૂપિયાની #પાણીની કોથળી બંધ કરી #દેશભક્તિ બતાવ્યા કરતા..

20 રૂપિયાની દેશી દારૂની કોથળી બંધ કરો કરોડો પરિવાર બચી જશે..",Non-hostile
"2 રૂપિયાની #પાણીની કોથળી બંધ કરી #દેશભક્તિ બતાવ્યા કરતા..

20 રૂપિયાની દેશી દારૂની કોથળી બંધ કરો કરોડો પરિવાર બચી જશે..",Non-hostile
"@AmitShah @narendramodi કાશ્મીરમાં
4 વર્ષ દેશદ્રોહ
અનેહવે દેશભક્તિ",Non-hostile
"કોંગ્રેસ ઇટાલીયન ચશ્મા ઉતારશે ત્યારે આરએસએસને ઓળખી શકશે : ભાજપ
આર.એસ.એસ.એ દેશભક્તિ, જનસેવા, સામાજિક સમરસતા માટે સતત કામ કરતું નિસ્વાર્થ સંગઠન છે : ભરત પંડ્યા",Non-hostile
"@VtvGujarati @YouTube કાશ્મીરમાં
4 વર્ષ દેશદ્રોહ
અનેહવે દેશભક્તિ",Non-hostile
"2 રૂપીયા ની પાણી ની કોથળી ને પ્લાસ્ટિક કોથળી બંધ કરી દેશભક્તિ બતાવ્યા કરતા......
20 રૂપીયા ની દેશી દારૂ ની કોથળી બંધ કરો લાખો પરિવાર બચી જશે...
લી. Mango people😊",Non-hostile
"@gujratsamachar રોષ પ્રગટ કરો.*

લિ.

પેટ્ટી ઓફિસર મનન ભટ્ટ, પૂર્વ નૌસેના અધિકારી

તા.ક. ગુજરાત સમાચાર બન્ધ કરીને મને તમારી દેશભક્તિ સાબિત કરતો ઇમેઇલ મોકલવાનું ન ભૂલતા...

*sainikswaraj@gmail.com*

*કોપી પેસ્ટ કરી વોટ્સએપમાં ફેસબુકમાં ફેલાવો અને શેર કરો..",Non-hostile
"દેશવિરોધી તાકતો સામે દેશભક્ત જીવનાં જોખમે લડી રહ્યો છે
ગર્વ છે @narendramodi જી આપની દેશભક્તિ પર... https://t.co/TruFfxyo57",Non-hostile
"દેશવિરોધી તાકતો સામે દેશભક્ત જીવનાં જોખમે લડી રહ્યો છે
ગર્વ છે @narendramodi જી આપની દેશભક્તિ પર... https://t.co/4NIsY4iKt3",Non-hostile
"દેશવિરોધી તાકતો સામે દેશભક્ત જીવનાં જોખમે લડી રહ્યો છે
ગર્વ છે @narendramodi જી આપની દેશભક્તિ પર... https://t.co/YwFwrr1wJF",Non-hostile
".@INCGujarat પોતાના ઈટાલીના ચશ્મા ઉતારશે તો તેને ચોક્કસ દેખાશે કે, “@RSSorg . એ દેશભક્તિ, જનસેવા, સામાજીક સમરસતા માટે સતત કામ કરતું એક નિસ્વાર્થ સંગઠન છે.”..(1/5) 
@BJP4Gujarat",Non-hostile
ગમન સાંથલે ગાયું પહેલીવાર દેશ માટે હિંન્દી દેશભક્તિ,Non-hostile
"પ્રણવદા હવે નાગપુર ગયા છે,તો દાદાને મારી વિનંતી છે RSSના હેડક્વાર્ટર પર આપણો રાષ્ટ્રીય તિરંગો લહેરાવી,સંઘના સ્વયંસેવકોને દેશભક્તિ પાઠ ભણાવે @RSSorg @INCGujarat",Non-hostile
દેશભક્તિ માં પાછો 33 પૈસા નો વધારો ..76 ની નજીક 76 ની પાર....,Non-hostile
"RSSના મંચ પરથી પ્રણવ મુખર્જી: દેશની પ્રગતિમાં અસ્થા જ ખરી દેશભક્તિ છે
#National #Politics #PranabMukherjee #MohanBhagwat #RSS #Congress https://t.co/zfgYEvtKCt",Non-hostile
"@RSSorg ના કાર્યક્રમમાં પૂર્વ રાષ્ટ્રપતિ @CitiznMukherjee નું સંબોધન
હું અહી મારી રાષ્ટ્રવાદ અને દેશભક્તિ વિશે મારો વિચાર રાખુ છુ
હું #India વિશે વાત કરવા અહી આવ્યો છુ
@BJP4India @narendramodi 
@INCIndia #RSSTritiyaVarsh #PranabAtRSSEvent #PranabMukherjee",Non-hostile
"@SirJadejaaaa @dhruv_rathee જાડેજા તુમને દેશભક્તિ છોડ કે કબ સે BJP કે તલવે ચાટ ને સુરું કર દીયે
ઇતની હી ભક્તિ અપને દેશ કે લિયે દિખાતે",Non-hostile
"RSSના મંચ પરથી પ્રણવ મુખર્જીએ શિખવાડી દેશભક્તિ, કહ્યું રાષ્ટ્રવાદ કોઈ ધર્મ કે ભાષામાં નથી વહેંચાયો
#PranabMukherjee #RSS #Meranews https://t.co/iaBqhKRFf0",Non-hostile
પહેલાં પેટ્રોલિયમ પેદાશોના ભાવ વધતાં મોંઘવારી વધતી હતી અને આજે દેશભક્તિ વધે છે.હોર્ન ધીરે વગાડો દેશનો પ્રજાજન સૂઈ રહ્યો છે 💯💯,Non-hostile
"@narendramodi :મોદી ગીત:
'એની તોલે કોઈ ન આવે,ભાઇ એ તો મોદી છે મોદી'
'ભલે ભેગા થયા બધા,એ હોય સોનિયા કે મમતા દીદી'
'પહેલા થતી હતી સરહદે શહીદી, હવે થાય છે દુશ્મનો ની બરબાદી'
'દાળ હોય કે કઠોળ, પહેલાં હતી મોંઘી, મોદી સરકાર પછી નથી થવા દીધી મોંઘી'
'ખરી દેશભક્તિ",Non-hostile
@chhayank @iPurohitHarshal @AmitChavdaINC @smritiirani @paresh_dhanani @vijayrupanibjp @saurabhjha12 @ihiteshbansal @ParagDr @abaranwal1802 @zankrut @gjha88 @Navrang @dhaval8456 @kaushkrahul આ પુરાવો છે કે તમે લોકો કૂતરા જોડે દેશભક્તિ શીખ્યા તમારા ગુરુ ની,Non-hostile
દેશભક્તિ ની પરાકાષ્ટા માં ભારતીના સપુત સ્વાતંત્ર્ય વિર સાવરકર ને સત સત નમન..🙏🇮🇳🙏 https://t.co/S5UYk8Fbp4,Non-hostile
"દિલ હે હિન્દુસ્તાની' ના શો માં જોવા મળશે રેખાસ્ટાર પ્લસના સિંગિંગ રિયાલિટી શો 'દિલ હે હિન્દુસ્તાની' એવો શો છે જેને જોઈને તમારામાં દેશભક્તિ માટે વધુ ભાવનાઓમાં જાગશે. પંજાબ રૈપર બાદશાહ, સુનિધિ ચૌહાણ અને પ્રીતમ, આ શો માં શામેલ થઈને કંટેસ્ટન્ટને જજ કરશે. આ શો ની સૌથી મોટી ખબર સામ... https://t.co/5fbBewEmTL",Non-hostile
"આદર્શ વ્યક્તિત્વ, શ્રેષ્ઠ વક્તા, કુશળ સંગઠક, ગુજરાત ભાજપ ના પ્રદેશ મંત્રી, બિન અનામત આયોગ ના ડિરેક્ટર અને જેમના શરીર માં લોહી કરતા વધારે દેશભક્તિ વહે છે એવા શ્રી @pradipsinhbjp જી ને જન્મદિવસ ની ખૂબ ખૂબ શુભેસ્છાઓ...",Non-hostile
"પહેલા પેટ્રોલ ના ભાવ વધતા, મોંઘવારી વધતી.
આજે દેશભક્તિ વધે છે..",Non-hostile
"@DrRutvij @BJP4Gujarat @IKJadejaBJP @BJP4Ahmedabadd @mlapanchal @narendramodi @AmitShah @byadavbjp @vijayrupanibjp @jitu_vaghani @poonam_mahajan @BJP4India @BJYM4Gujarat @BJYM ૫૦ કરોડ ની ગર્લફ્રેન્ડ કોઈ ની પત્ની ને કહે ટેંતો તમારો સરદાર છે, રહેવા દો , કૂત",Non-hostile
"ભારતમાં રાષ્ટ્રની ભાષા યુરોપિયન દેશોથી અલગ: @CitiznMukherjee 
વિવિધતામાં એકતા એજ ભારતની શક્તિ છે
કોઈપણ દેશની ઓળક તેનો રાષ્ટ્રવાદ હોય છે.
દેશ માટે સમર્પણ એ જ સાચી દેશભક્તિ છે
@INCIndia #RSSTritiyaVarsh https://t.co/diB9Y80kQG",Non-hostile
"કોંગ્રેસ પોતાના ઈટાલીના ચશ્મા ઉતારશે તો તેને દેખાશે કે, “આર.એસ.એસ. એ દેશભક્તિ, જનસેવા, સામાજીક સમરસતા માટે સતત કામ કરતું નિસ્વાર્થ સંગઠન છે”: ભરત પંડ્યા
https://t.co/ky1paBGEIy
#GujaratBJP #BJP #Gujarat https://t.co/FirQCdN0Ju",Non-hostile
"યુવાનો ના આદર્શ,કુશળ સંગઠક,ગુજરાત ભાજપ ના પ્રદેશ મંત્રી,બિન અનામત આયોગ ના ડિરેક્ટર અને જેમના શરીર માં લોહી કરતા વધારે દેશભક્તિ વહે છે એવા શ્રી Pradipsinh Vaghela ને જન્મદિવસ ના ખૂબ ખૂબ અભિનંદન પાઠવું છું અને મહાદેવ તમારી દરેક મનોકામના પૂર્ણ કરે એવી શુભકામનાઓ... https://t.co/oQYNt606oW",Non-hostile
"ભારત ના દરેક મુસલમાનો દેશભક્ત છે તેમાં કોઈ શક નથી,પરંતુ સલીમખાન તથા જાવેદ અખતર ની દેશભક્તિ બેમિસાલ છે, રાજ્યસભામાં ત્રણ વખત ભારતમાતા કી જય બોલીને જાવેદ સાહેબે હિન્દુસ્તાન ની માટી નું ઋણ અદા કર્યું છે, તેમની મુલકની વફાદારી તથા ખુદાની નેક બંદગી ને હું સો વખત સલામ કરું છું BHAVNAGAR",Non-hostile
"@Rameshsinh19 @VtvGujarati શ્રીમાન, એ ઈતિહાસ છે કે આઝાદી પછી નેતાઓની દેશભક્તિ ક્યારેય પ્રશ્નાર્થોમાં રહી નથી. હવે, એ પ્રશ્નોનો મતલબ પણ નથી. મુદ્દો એ છે કે ભારતવર્ષની ગરિમા અને ગૌરવને ભવિષ્યમાં કેમ સાચવી શકીએ અને તેના માટે આપણે કેવી રીતે પુરુષાર્થ કરી શકીએ",Non-hostile
"જે આજે ભાજપ માં છે, અે કાલે કોંગ્રેસ માં પણ જતા રહેશે, આજે કોંગ્રેસ માં છે,એ કાલે ભાજપ માં જતા રહેશે.. માટે, બહુ દુઃખી થવું નહીં. આ બાબતે જાડી ચામડીના જ થવું. ધંધામાં / કુટુંબમાં ધ્યાન રાખવું. કોઈ પક્ષ ને વધારે દેશભક્તિ વાળો સમજી , એમાં કુદી નો પડવું..
....2",Non-hostile
"બેશરમો ડૂબી મરો....

તિરંગો ફરકાવવાને બદલે પોતાના કમળ નો ઝંડો લટકાવીને રાષ્ટ્રગીત ગાઈને પોતાની દેશભક્તિના દર્શન કરાવતા દેશપ્રેમી ભાજપીયાઓ...

જ્ઞાની ભક્તો..આ પ્રકારની દેશભક્તિ વિશે કાંઈ લખશે કે આમાં પણ નહેરુના માથે ઢોળશે...? https://t.co/5VUt0tMM7v",Non-hostile
ગૌ-શાળાના લાભાર્થે દેશભક્તિ લોકડાયરો યોજાશે https://t.co/UEdNJLBYfa https://t.co/ICZkq1vcgl,Non-hostile
મોરબીમાં ક્રાંતિકારી સેના દ્વારા દેશભક્તિ લોકડાયરો યોજાયો - https://t.co/jQJRni3Ood https://t.co/gUMDe9oywu,Non-hostile
કિર્તીદાન ગઢવી એ ગાયુ આ દેશભક્તિ ગીત || Kirtidan Gadhvi - Live Deshbhakti Geet,Non-hostile
"AMU માં જિન્ના નો ફોટો...
મદરેસા માં લાદેન નો..
પાછા કહે છે કે અમારી દેશભક્તિ ઉપર સવાલ કેમ કરો છો..?

અરે પંચરવાળા ભાઈ..
અમને તમારી દેશભક્તિ પર સક નથી 
પણ ક્યો દેશ...ઇ તો કહો..?

#AMUDumpJinnahRow",Non-hostile
અંગ્રેજોના દલાલો ને શુ ખબર હોય કે દેશભક્તિ શું હોય છે. #ફેંક_મોદી https://t.co/nIZ8vdhsyi,Non-hostile
"👉 ગઇ કાલે એટલે કે ૧૩ તારીખે રાત્રે હનુમાન બજાર માં ( ૧૦૦૦+ ) હજારોની સંખ્યામાં દાહોદના મોઢ સમાજના લોકો દેશભક્તિ નાં રંગમાં રંગાયા અને ""જન ગણ મન"" વાગતી વખતે ઉભા થઈ તેને સનમાન આપી છેલ્લે ભારત માતા જય નાં નારા પણ... https://t.co/QZakSayZw0",Non-hostile
"જાસૂસ માછલીએ દેશભક્તિ માટે આપ્યો જીવ, જાણો દેશભક્ત ડોલ્ફિનો વિશે

#ajabgajab #dolphine #spy #ukrain https://t.co/4S5nP4ct2k",Non-hostile
અંગ્રેજોના દલાલો ને શુ ખબર હોય કે દેશભક્તિ શું હોય છે. #ફેંક_મોદી,Non-hostile
"અમર ક્રાંતિકારી સુખદેવ થાપરને તેમનાં જન્મદિને કોટી કોટી પ્રણામ.

સુખદેવ થાપર ભારતીય સ્વાધિનતા સંગ્રામમાં એક એવું નામ છે જે માત્ર પોતાની દેશભક્તિ જ નહીં પરંતુ સાહસ, સફળ નેતૃત્વ, માતૃભૂમિ પર કૂરબાન થવા માટે જાણીતુ છે.

#SukhdevThapar #Sukhdev https://t.co/RtxdnFavom",Non-hostile
મોરબીમાં ૧૫મીએ દેશભક્તિ લોકડાયરો યોજાશે - https://t.co/JvnE2nHzV0 https://t.co/cQBe51vHHe,Non-hostile
"અમર ક્રાંતિકારી સુખદેવ થાપરને તેમનાં જન્મદિને કોટી કોટી પ્રણામ.

સુખદેવ થાપર ભારતીય સ્વાધિનતા સંગ્રામમાં એક એવું નામ છે જે માત્ર પોતાની દેશભક્તિ જ નહીં પરંતુ સાહસ, સફળ નેતૃત્વ, માતૃભૂમિ પર કૂરબાન થવા માટે જાણીતુ છે.

#SukhdevThapar https://t.co/LzqOFaTpGT",Non-hostile
"કુમાર વિશ્વાસ ને રાજ્યસભા મોકલશે બીજેપી.

જોવા મળશે રાજ્યસભા મા અસલી દેશભક્તિ કવિતાઓ સાથે.",Non-hostile
જયારે વારો આવીયો દેશ માટે બલિદાન નો ત્યારે એક પણ શણ નું વિચાર્યું નઈ ને ચેહરા ઉપર એક ખુમારી હતી લોહી માં રાષ્ટ્રપ્રેમ હતો...ખરા અંશ માં અમર ગાથા લખી ગયા તમે વીર સપૂતો... દેશભક્તિ ની વાત જ તમારા થી શરૂ થાય છે🇮🇳🇮🇳🇮🇳🙏🏻🙏🏻🙏🏻 https://t.co/Rr1kEpwvWW,Non-hostile
"ભારતીય જનતા યુવા - મોરચો, સુરત મહાનગર આયોજીત "" શહદ દીન "" ની પૂર્વ સંધ્યાએ દેશભક્તિ ગીત "" એક શામ શહીદો કે નામ "" કાર્યક્રમ. https://t.co/c0fQ4lJYrk",Non-hostile
"ભારતીય જનતા યુવા - મોરચો, સુરત મહાનગર આયોજીત "" શહીદ દીન "" ની પૂર્વ સંધ્યાએ દેશભક્તિ ગીત "" એક શામ શહીદો કે નામ "" કાર્યક્રમ. https://t.co/v2UG0DdvCO",Non-hostile
"ભારતીય જનતા યુવા - મોરચો, સુરત મહાનગર આયોજીત "" શહીદ દીન "" ની પૂર્વ સંધ્યાએ દેશભક્તિ ગીત "" એક શામ શહીદો કે નામ "" કાર્યક્રમ. https://t.co/RjUoKHfiRV",Non-hostile
"શહીદો ને શતશત નમનભાજપ યુવા મોરચા વડોદરા મહાનગર દ્વારા, ગૌ રક્ષા સેવા સમિતિના સહયોગ થી ૨૩ માર્ચ શહીદ દિવસ નિમિત્તે સંગીત સંઘ્યા નું આયોજન કરવામાં આવ્યું હતું.જેમાં દેશભક્તિ ના ગીતો વગાડવામાં આવ્યા હતા, જેમાં શહેરીજનો એ ખુબ મોટી સંખ્યા માં ઉપસ્થિત રહી કાર્યક્રમ ને સફળ બનાવ્યો હતો. https://t.co/DuzpcGR0Rv",Non-hostile
હળવદમા એક શામ શહિદો કે નામ : લોકડાયરો અને દેશભક્તિ ગીતનો કાર્યક્રમ યોજાયો - https://t.co/xSlRhWzXNZ https://t.co/XWkugdoeGZ,Non-hostile
"ભારતીય જનતા યુવા - મોરચો, સુરત મહાનગર આયોજીત "" શહદ દીન "" ની પૂર્વ સંધ્યાએ દેશભક્તિ ગીત "" એક શામ શહીદો કે નામ "" કાર્યક્રમ. https://t.co/s6cmPOscDr",Non-hostile
